date,open,high,low,close,volume
2006-10-09,19.8105,19.9032,19.6823,19.7535,33366300
2006-10-10,19.7322,19.7749,19.554,19.7322,34598500
2006-10-11,19.5683,19.7179,19.5398,19.6253,37219600
2006-10-12,19.6538,20.1597,19.6253,20.1098,120174900
2006-10-13,20.1954,20.4448,20.174,20.2167,129751900
2006-10-16,20.2951,20.3806,20.1882,20.2737,49744800
2006-10-17,20.1241,20.3165,20.0742,20.2666,40122600
2006-10-18,20.3094,20.452,20.1383,20.3236,40630800
2006-10-19,20.2025,20.2745,20.0386,20.1597,44730800
2006-10-20,20.2951,20.3022,20.0742,20.2595,48887800
2006-10-23,20.1668,20.4448,20.0813,20.2737,48525000
2006-10-24,20.2595,20.2595,20.0457,20.1526,61409600
2006-10-25,20.1526,20.2809,20.0528,20.174,40717100
2006-10-26,20.1882,20.2452,19.9816,20.2025,69964200
2006-10-27,20.3022,20.516,20.1312,20.1954,89060100
2006-10-30,20.2025,20.5517,20.1811,20.3307,47296800
2006-10-31,20.4234,20.5589,20.3521,20.459,61861700
2006-11-01,20.5089,20.6585,20.4519,20.5303,75895900
2006-11-02,20.459,20.5659,20.3664,20.5018,58674400
2006-11-03,20.5588,20.6158,20.3878,20.4733,41124500
2006-11-06,20.5018,20.7013,20.4946,20.5517,60446200
2006-11-07,20.5659,20.7156,20.5231,20.63,56511200
2006-11-08,20.5089,20.8296,20.4234,20.6514,77403300
2006-11-09,20.7441,20.9507,20.6657,20.851,89407500
2006-11-10,20.7868,20.8723,20.7726,20.8367,37855100
2006-11-13,20.8011,20.9935,20.7797,20.9151,47271800
2006-11-14,20.9366,21.0367,20.7864,20.8998,63012500
2006-11-15,20.8258,20.9939,20.815,20.8222,63943200
2006-11-16,20.8329,21.194,20.8293,21.0725,64328500
2006-11-17,20.958,21.1225,20.9366,21.0224,49356700
2006-11-20,21.1082,21.4514,21.0939,21.3728,85703800
2006-11-21,21.3871,21.4515,21.3013,21.3942,66446600
2006-11-22,21.43,21.4514,21.3227,21.3942,43907200
2006-11-24,21.2083,21.337,21.194,21.2798,20456700
2006-11-27,21.2298,21.2655,20.9723,21.0796,72722100
2006-11-28,20.9795,21.0367,20.8293,21.0152,52602300
2006-11-29,21.051,21.2941,21.0438,21.144,58775100
2006-11-30,21.0367,21.144,20.9694,20.9938,53297400
2006-12-01,20.9008,20.9509,20.6648,20.8222,72257000
2006-12-04,20.9008,21.1082,20.8579,20.9723,55123400
2006-12-05,20.9938,21.0224,20.7578,20.8293,45606000
2006-12-06,20.8043,20.8293,20.6434,20.7292,48564100
2006-12-07,20.7078,20.7864,20.6005,20.6291,46831100
2006-12-08,20.6077,21.0224,20.5934,21.0224,108854900
2006-12-11,20.8722,21.2727,20.815,21.1225,107712000
2006-12-12,21.1368,21.1869,20.8937,21.0438,68529400
2006-12-13,21.1654,21.1654,20.9652,21.1297,46002500
2006-12-14,21.1189,21.5087,21.1082,21.5015,85866500
2006-12-15,21.5515,21.6159,21.4729,21.5873,102783700
2006-12-18,21.5873,21.6373,21.2941,21.3728,56986800
2006-12-19,21.2441,21.573,21.1154,21.4443,53822100
2006-12-20,21.4443,21.623,21.43,21.5158,31202100
2006-12-21,21.5444,21.5515,21.3728,21.4371,32270500
2006-12-22,21.3263,21.3513,21.1797,21.194,37971700
2006-12-26,21.1154,21.4514,21.0224,21.4443,37098300
2006-12-27,21.4443,21.5444,21.3871,21.4657,31248400
2006-12-28,21.3513,21.4729,21.3156,21.4371,26690600
2006-12-29,21.3513,21.5587,21.3299,21.3513,41739800
2007-01-03,21.3871,21.6302,21.0224,21.3513,76935100
2007-01-04,21.2369,21.43,21.051,21.3156,45774500
2007-01-05,21.1869,21.2727,21.0581,21.194,44607200
2007-01-08,21.2012,21.5229,21.1154,21.4014,50220200
2007-01-09,21.4514,21.5801,21.2584,21.4228,44636600
2007-01-10,21.3084,21.3728,21.0438,21.2083,55017400
2007-01-11,21.2798,21.9877,21.2011,21.952,99464300
2007-01-12,21.9162,22.4453,21.9091,22.3166,103972500
2007-01-16,22.3524,22.4882,22.1879,22.2809,62379600
2007-01-17,22.3524,22.4811,22.1736,22.238,58519600
2007-01-18,22.2737,22.431,22.0235,22.1665,56364300
2007-01-19,21.9734,22.2451,21.9448,22.2451,75826900
2007-01-22,22.2094,22.2523,21.8161,21.9663,56143900
2007-01-23,21.9019,22.1379,21.8233,21.9806,49171200
2007-01-24,22.0092,22.381,21.9162,22.2308,58527800
2007-01-25,22.2237,22.5097,21.7732,21.7732,97378700
