date,open,high,low,close,volume
2007-05-03,3.0467,3.1195,3.0307,3.102,269640000
2007-05-04,3.112,3.1798,3.11,3.1539,285986000
2007-05-07,3.114,3.1539,3.0282,3.0337,296166000
2007-05-08,3.0197,3.0846,2.9778,3.0841,271022000
2007-05-09,3.0926,3.1399,3.0576,3.1349,177498000
2007-05-10,3.1145,3.125,3.0352,3.0387,201040000
2007-05-11,3.0407,3.0726,3.0207,3.0706,158382000
2007-05-14,3.0766,3.0796,3.0227,3.0776,155208000
2007-05-15,3.0626,3.0911,3.0187,3.0217,174042000
2007-05-16,3.0437,3.1594,2.9978,3.1534,289708000
2007-05-17,3.1364,3.1684,3.0935,3.101,237418000
2007-05-18,3.1165,3.1574,3.1065,3.1574,195984000
2007-05-21,3.1714,3.4257,3.1574,3.4068,729376000
2007-05-22,3.4158,3.4452,3.3524,3.4357,344226000
2007-05-23,3.4522,3.6567,3.4312,3.4417,851650000
2007-05-24,3.4437,3.5125,3.3774,3.4592,476492000
2007-05-25,3.4761,3.4766,3.4043,3.4193,199744000
2007-05-29,3.4133,3.4806,3.3779,3.4731,234616000
2007-05-30,3.4447,3.4956,3.4348,3.4846,211522000
2007-05-31,3.5255,3.5285,3.4203,3.4487,186204000
2007-06-01,3.4367,3.4567,3.4093,3.4208,140290000
2007-06-04,3.4043,3.524,3.3744,3.5125,227610000
2007-06-05,3.5465,3.7031,3.5345,3.6737,608850000
2007-06-06,3.6482,3.6786,3.5844,3.6058,311820000
2007-06-07,3.6198,3.727,3.5355,3.5933,482764000
2007-06-08,3.6148,3.6532,3.544,3.6532,204090000
2007-06-11,3.6412,3.6437,3.5415,3.55,223182000
2007-06-12,3.5135,3.5295,3.4627,3.4951,236590000
2007-06-13,3.5365,3.5859,3.4542,3.5359,238358000
2007-06-14,3.5365,3.5973,3.5315,3.5884,164906000
2007-06-15,3.6337,3.6347,3.5509,3.6113,196664000
2007-06-18,3.6083,3.6233,3.5614,3.5829,156272000
2007-06-19,3.5689,3.5744,3.4756,3.4821,237420000
2007-06-20,3.5041,3.5165,3.4442,3.4467,183452000
2007-06-21,3.4497,3.4801,3.4248,3.4751,152194000
2007-06-22,3.4691,3.4856,3.4128,3.4347,167652000
2007-06-25,3.4592,3.4731,3.4068,3.4248,151870000
2007-06-26,3.4183,3.4233,3.3609,3.3659,224956000
2007-06-27,3.34,3.4023,3.3275,3.3988,164858000
2007-06-28,3.4148,3.5031,3.3993,3.4362,195644000
