date,open,high,low,close,volume
2007-09-13,4.1821,4.1872,4.1164,4.133,656163200
2007-09-14,4.114,4.1866,4.1029,4.1815,607320000
2007-09-17,4.1869,4.2351,4.1451,4.1695,793371600
2007-09-18,4.1887,4.3032,4.152,4.2451,1064089600
2007-09-19,4.3083,4.3125,4.1993,4.2405,1026880400
2007-09-20,4.2219,4.2713,4.1969,4.2267,691840800
2007-09-21,4.2517,4.3574,4.2267,4.3424,1138880400
2007-09-24,4.4201,4.5141,4.4177,4.4668,1052161600
2007-09-25,4.4234,4.6156,4.4228,4.6144,1192550800
2007-09-26,4.6532,4.6692,4.5562,4.602,975268000
2007-09-27,4.6322,4.6547,4.5885,4.6541,658198800
2007-09-28,4.6222,4.6572,4.6014,4.6231,615101200
2007-10-01,4.6581,4.7418,4.6069,4.7095,837068400
2007-10-02,4.7159,4.7774,4.696,4.7731,792069600
2007-10-03,4.753,4.7951,4.7298,4.7572,692518400
2007-10-04,4.7596,4.762,4.624,4.7066,656958400
2007-10-05,4.7704,4.8674,4.7505,4.8635,943471200
2007-10-08,4.925,5.0581,4.9093,5.0581,835928800
2007-10-09,5.1271,5.1545,5.0211,5.0566,1104286400
2007-10-10,5.0473,5.0572,4.9885,5.0244,667590000
2007-10-11,5.1057,5.1777,4.6153,4.887,1643992000
2007-10-12,4.9105,5.0391,4.874,5.0383,988176000
2007-10-15,5.0602,5.1081,4.9253,5.0301,1077930000
2007-10-16,4.9867,5.1265,4.975,5.1084,1067830400
2007-10-17,5.2021,5.2126,5.0964,5.2039,1127613200
2007-10-18,5.1663,5.2473,5.1527,5.2265,823676000
2007-10-19,5.2488,5.2605,5.1211,5.1337,1291780000
2007-10-22,5.1316,5.2687,5.1199,5.2524,1649499600
2007-10-23,5.6802,5.6814,5.5054,5.6079,1795164000
2007-10-24,5.5973,5.6395,5.3994,5.6009,1288481600
2007-10-25,5.569,5.6,5.4723,5.506,973602000
2007-10-26,5.5817,5.5841,5.5091,5.5639,706876800
2007-10-29,5.594,5.6208,5.5639,5.5756,540554000
2007-10-30,5.6085,5.7046,5.5648,5.6332,939414000
2007-10-31,5.6522,5.7272,5.5714,5.722,833310800
2007-11-01,5.6814,5.7266,5.4223,5.6464,805036400
2007-11-02,5.6997,5.7067,5.5274,5.6594,1002114400
2007-11-05,5.5817,5.6922,5.55,5.6085,804176800
2007-11-06,5.6347,5.7838,5.5811,5.7775,954727200
2007-11-07,5.7419,5.8043,5.607,5.6121,994327600
2007-11-08,5.6232,5.6302,5.0539,5.2857,1890378000
2007-11-09,5.1557,5.2753,4.9768,4.9816,1526380800
2007-11-12,4.9789,5.0518,4.5376,4.6319,1769065200
2007-11-13,4.8454,5.1506,4.6319,5.1199,1739446800
2007-11-14,5.3368,5.3491,4.9325,5.0039,1449168000
2007-11-15,5.0123,5.1087,4.8289,4.9494,1487410400
2007-11-16,4.9795,5.0313,4.7996,5.0123,1383494000
2007-11-19,5.0036,5.0668,4.8831,4.9388,1154428800
2007-11-20,4.9906,5.175,4.9262,5.0864,1543642800
2007-11-21,4.9958,5.1919,4.9605,5.0747,1217809600
2007-11-23,5.1813,5.1828,5.1135,5.1675,465757600
2007-11-26,5.2292,5.3401,5.1919,5.1976,1305754800
2007-11-27,5.2783,5.2955,5.1214,5.266,1317030400
2007-11-28,5.3265,5.4404,5.2822,5.4289,1150912000
2007-11-29,5.4051,5.578,5.3967,5.5515,1050926800
2007-11-30,5.6434,5.6543,5.4133,5.4892,1187802000
2007-12-03,5.4783,5.547,5.353,5.388,961469600
2007-12-04,5.3365,5.4494,5.3316,5.4166,773799600
2007-12-05,5.5094,5.603,5.4949,5.588,892402000
2007-12-06,5.6088,5.7266,5.6067,5.7221,899810800
2007-12-07,5.7398,5.8739,5.6645,5.8531,1066066400
2007-12-10,5.8317,5.894,5.8046,5.8504,722377600
2007-12-11,5.8666,5.9293,5.6449,5.6796,1110925200
2007-12-12,5.8272,5.8585,5.5958,5.7495,1225660800
2007-12-13,5.7293,5.7874,5.6579,5.7787,864617600
2007-12-14,5.7347,6.0248,5.7097,5.7353,674312800
2007-12-17,5.7452,5.8034,5.5121,5.5549,1024693600
2007-12-18,5.6187,5.6431,5.3801,5.5121,1222603200
2007-12-19,5.5121,5.5621,5.4494,5.5163,827478400
2007-12-20,5.5859,5.6582,5.5226,5.6395,774057200
2007-12-21,5.7272,5.8414,5.7202,5.8413,993960800
2007-12-24,5.8751,6.0046,5.8678,5.9886,480202800
2007-12-26,5.995,6.0537,5.929,5.9932,703732400
2007-12-27,5.9932,6.114,5.9585,5.9817,795527600
2007-12-28,6.0426,6.0718,5.9308,6.0197,699647200
2007-12-31,6.0097,6.0398,5.957,5.9669,539333200
2008-01-02,6.0028,6.0326,5.8004,5.8693,1079178800
2008-01-03,5.8865,5.9462,5.8046,5.8721,842066400
2008-01-04,5.7672,5.8139,5.3889,5.4238,1455832000
2008-01-07,5.46,5.5308,5.128,5.3512,2072193200
2008-01-08,5.4265,5.4964,5.1452,5.1587,1523816000
2008-01-09,5.1602,5.4072,5.0699,5.4042,1813882000
2008-01-10,5.3494,5.4524,5.284,5.3627,1482975200
2008-01-11,5.3018,5.3575,5.1211,5.2021,1232285600
2008-01-14,5.3476,5.4048,5.2768,5.3856,1100450400
2008-01-15,5.3536,5.3988,4.9602,5.0921,2147483647
2008-01-16,4.9774,5.0912,4.7204,4.809,2147483647
2008-01-17,4.8653,4.9813,4.7722,4.8466,1757859600
2008-01-18,4.8713,4.993,4.8081,4.8608,1724343600
2008-01-22,4.4601,4.8192,4.3981,4.6885,2147483647
2008-01-23,4.1026,4.2173,3.7998,4.1894,2147483647
2008-01-24,4.217,4.2384,3.9767,4.0848,2005866800
2008-01-25,4.1869,4.1899,3.9044,3.9164,1554739200
2008-01-28,3.8607,4.0125,3.8092,3.9164,1474844000
2008-01-29,3.9508,4.0002,3.8875,3.9625,1099982800
2008-01-30,3.9574,4.0803,3.9161,3.9818,1243051600
2008-01-31,3.8995,4.1164,3.898,4.0776,1345674400
2008-02-01,4.1041,4.1146,3.9818,4.0291,1010744000
2008-02-04,4.0429,4.0938,3.9589,3.9658,899234000
2008-02-05,3.9291,4.0366,3.883,3.8968,1141042000
2008-02-06,3.9411,3.9739,3.6682,3.6751,1573272400
2008-02-07,3.614,3.7589,3.5326,3.6522,2083331600
2008-02-08,3.6775,3.7866,3.6631,3.7799,1355972800
2008-02-11,3.8562,3.9155,3.8318,3.8995,1201432400
2008-02-12,3.9372,3.9462,3.7239,3.7613,1225980000
2008-02-13,3.8161,3.9095,3.7845,3.898,968534000
2008-02-14,3.898,3.9402,3.826,3.8396,954097200
2008-02-15,3.8037,3.8281,3.7372,3.7543,901300400
2008-02-19,3.7953,3.8182,3.6582,3.6805,1005046000
2008-02-20,3.6811,3.7534,3.6655,3.7299,967439200
2008-02-21,3.7971,3.8098,3.6408,3.6613,938114800
2008-02-22,3.6896,3.6905,3.4905,3.5986,1529878000
2008-02-25,3.5724,3.62,3.5144,3.607,1256774400
2008-02-26,3.5438,3.6477,3.4775,3.5893,1504888000
2008-02-27,3.5616,3.7067,3.5573,3.704,1475138000
2008-02-28,3.8318,3.9824,3.7887,3.9134,1618254400
2008-02-29,3.9086,3.9224,3.7595,3.7661,1255480800
2008-03-03,3.7486,3.795,3.5546,3.667,1593043200
2008-03-04,3.6748,3.7619,3.6269,3.754,1785383600
2008-03-05,3.7227,3.7697,3.6826,3.7501,1221836000
2008-03-06,3.7501,3.8408,3.6393,3.6429,1473698800
2008-03-07,3.6272,3.7046,3.5863,3.6826,1230462800
2008-03-10,3.6745,3.7191,3.5959,3.6055,999588800
2008-03-11,3.7384,3.8402,3.6751,3.8363,1163943200
2008-03-12,3.8269,3.8763,3.7706,3.7965,1059629200
2008-03-13,3.7384,3.901,3.7052,3.8541,1262102800
2008-03-14,3.9125,3.9251,3.7414,3.814,1156640800
2008-03-17,3.6917,3.8736,3.6917,3.8176,1072598800
2008-03-18,3.8914,4.0065,3.876,4.0011,1205120000
2008-03-19,4.0101,4.0453,3.9062,3.9062,1010536800
2008-03-20,3.9498,4.0153,3.8914,4.0146,908787600
2008-03-24,4.0369,4.243,4.0258,4.2032,1066920400
2008-03-25,4.2161,4.3107,4.1369,4.2469,1052391200
2008-03-26,4.2436,4.3903,4.2366,4.3698,1182084400
2008-03-27,4.3665,4.3773,4.217,4.2249,999829600
2008-03-28,4.2716,4.3574,4.2655,4.308,714610400
2008-03-31,4.3159,4.3894,4.2933,4.3228,768065200
2008-04-01,4.4071,4.5083,4.3261,4.5044,1032567200
2008-04-02,4.4818,4.5547,4.3936,4.443,1044968400
2008-04-03,4.43,4.6279,4.4282,4.5671,1051568000
2008-04-04,4.5846,4.6606,4.5412,4.6114,854417200
2008-04-07,4.7032,4.8105,4.6725,4.696,1158326400
2008-04-08,4.6255,4.7129,4.5885,4.6041,1014294400
2008-04-09,4.6183,4.6358,4.5324,4.562,873398400
2008-04-10,4.5526,4.6819,4.5367,4.6557,955763200
2008-04-11,4.6005,4.618,4.4101,4.4324,1210076000
2008-04-14,4.4213,4.496,4.3541,4.4517,845087600
2008-04-15,4.5005,4.5102,4.3897,4.4698,698037200
2008-04-16,4.5716,4.6421,4.5373,4.63,795774000
2008-04-17,4.6445,4.6993,4.6195,4.6538,704267200
2008-04-18,4.7909,4.8879,4.771,4.8512,1026765600
2008-04-21,4.8906,5.0759,4.8728,5.0656,1039152800
2008-04-22,5.043,5.0608,4.7623,4.8259,1439572400
2008-04-23,4.9418,4.9656,4.8524,4.9069,1504190800
2008-04-24,4.9798,5.1205,4.7955,5.0891,1696066400
2008-04-25,5.1391,5.1542,5.0132,5.1129,992474000
2008-04-28,5.1132,5.234,5.0949,5.1885,787214400
2008-04-29,5.1545,5.2916,5.1286,5.2732,923476400
2008-04-30,5.3096,5.4223,5.209,5.2401,1139524400
2008-05-01,5.272,5.4223,5.2675,5.4223,903576800
2008-05-02,5.4316,5.4801,5.3786,5.4506,1006082000
2008-05-05,5.4768,5.5823,5.4539,5.5648,854557200
2008-05-06,5.5597,5.6368,5.488,5.6229,918870400
2008-05-07,5.607,5.6693,5.4386,5.5003,1157133600
2008-05-08,5.5353,5.6181,5.5148,5.5747,899085600
2008-05-09,5.5181,5.5503,5.4636,5.5262,673072400
2008-05-12,5.5765,5.6895,5.5082,5.6681,818563200
2008-05-13,5.6814,5.7672,5.6591,5.7223,823236400
2008-05-14,5.7624,5.791,5.5901,5.6109,916823600
2008-05-15,5.6265,5.7205,5.5488,5.7154,873208000
2008-05-16,5.7326,5.7326,5.6332,5.6519,765769200
2008-05-19,5.6603,5.6841,5.4615,5.5308,945820400
2008-05-20,5.4774,5.6079,5.4259,5.6,969850000
2008-05-21,5.5913,5.6633,5.3093,5.3678,1157657200
2008-05-22,5.3976,5.4624,5.1813,5.3334,1206735600
2008-05-23,5.4449,5.4823,5.356,5.4575,906917200
2008-05-27,5.5067,5.616,5.4777,5.616,789905200
2008-05-28,5.6479,5.6618,5.5344,5.6335,743979600
2008-05-29,5.6311,5.6693,5.588,5.6238,647186400
2008-05-30,5.6482,5.7097,5.6446,5.6859,610184400
2008-06-02,5.6784,5.713,5.5588,5.6061,679840000
2008-06-03,5.6302,5.6693,5.4927,5.5841,750520400
2008-06-04,5.5428,5.6359,5.5196,5.5786,726983600
2008-06-05,5.6106,5.7187,5.594,5.7064,755445600
2008-06-06,5.6633,5.722,5.5895,5.5922,966422800
2008-06-09,5.5705,5.5711,5.2943,5.4708,1888392800
2008-06-10,5.4322,5.6265,5.3928,5.5922,1140941200
2008-06-11,5.553,5.603,5.41,5.4467,961550800
2008-06-12,5.466,5.5006,5.1572,5.2193,1308333600
2008-06-13,5.1663,5.2464,4.9798,5.1925,1345957200
2008-06-16,5.1587,5.359,5.0931,5.3271,1051730400
2008-06-17,5.3672,5.4823,5.3443,5.4654,899656800
2008-06-18,5.4524,5.4886,5.3425,5.3847,811468000
2008-06-19,5.3765,5.4928,5.3259,5.4494,791949200
2008-06-20,5.3184,5.4524,5.2717,5.2798,888367200
2008-06-23,5.2651,5.2982,5.1681,5.2163,645780800
2008-06-24,5.1831,5.2952,5.1702,5.219,621947200
2008-06-25,5.2566,5.3871,5.2379,5.3437,644450800
2008-06-26,5.2458,5.267,5.0611,5.0687,869610000
2008-06-27,5.0138,5.1382,4.9448,5.1238,1042249600
2008-06-30,5.1223,5.1813,5.0192,5.0439,684196800
2008-07-01,4.9418,5.2633,4.9403,5.262,1111280800
